Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login and Add to cart,Chrome 126.0.0.0,,,29-07-2024 12:55:13,29-07-2024 12:55:21,8.349s,PASSED
,,,,,,,
Test Cases/Web/Succes Login,Chrome 126.0.0.0,,,29-07-2024 12:55:13,29-07-2024 12:55:20,7.168s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,29-07-2024 12:55:14,29-07-2024 12:55:16,2.358s,PASSED
navigateToUrl(baseUrl),Chrome 126.0.0.0,,,29-07-2024 12:55:16,29-07-2024 12:55:17,0.600s,PASSED
"setText(findTestObject(""Success Login/input_username""), ""standard_user"")",Chrome 126.0.0.0,,,29-07-2024 12:55:17,29-07-2024 12:55:19,2.198s,PASSED
"setText(findTestObject(""Success Login/input_password""), password_success)",Chrome 126.0.0.0,,,29-07-2024 12:55:19,29-07-2024 12:55:20,0.606s,PASSED
"click(findTestObject(""Success Login/btn_login""))",Chrome 126.0.0.0,,,29-07-2024 12:55:20,29-07-2024 12:55:20,0.346s,PASSED
"verifyElementVisible(findTestObject(""Success Login/page_title""))",Chrome 126.0.0.0,,,29-07-2024 12:55:20,29-07-2024 12:55:20,0.518s,PASSED
,,,,,,,
Test Cases/Web/Add product to cart,Chrome 126.0.0.0,,,29-07-2024 12:55:20,29-07-2024 12:55:21,0.875s,PASSED
"click(findTestObject(""Homepage/button_add_to_cart""))",Chrome 126.0.0.0,,,29-07-2024 12:55:20,29-07-2024 12:55:21,0.297s,PASSED
"verifyElementVisible(findTestObject(""Homepage/icon_cart_with_product""))",Chrome 126.0.0.0,,,29-07-2024 12:55:21,29-07-2024 12:55:21,0.504s,PASSED
